index,City,Date,Card Type,Exp Type,Gender,Amount,Month
5413,"Ahmedabad, India",2013-11-05,Platinum,Entertainment,F,244384,November
5414,"Ahmedabad, India",2014-08-15,Silver,Grocery,M,256534,August
5415,"Bengaluru, India",2014-12-26,Platinum,Fuel,F,230798,December
5416,"Greater Mumbai, India",2014-10-18,Gold,Food,F,216961,October
5417,"Greater Mumbai, India",2014-03-10,Silver,Grocery,F,86778,March
5418,"Greater Mumbai, India",2014-03-24,Signature,Bills,F,168061,March
5419,"Greater Mumbai, India",2014-09-18,Gold,Entertainment,M,225892,September
5420,"Delhi, India",2013-10-31,Gold,Grocery,F,166138,October
5421,"Greater Mumbai, India",2014-10-06,Signature,Food,M,76550,October
5422,"Delhi, India",2014-10-10,Gold,Food,M,26285,October
5423,"Delhi, India",2014-04-22,Silver,Grocery,F,130604,April
5424,"Ahmedabad, India",2013-11-06,Gold,Food,M,151934,November
5425,"Bengaluru, India",2015-01-11,Platinum,Food,M,119832,January
5426,"Bengaluru, India",2015-05-03,Silver,Food,F,98571,May
5427,"Bengaluru, India",2013-11-11,Platinum,Grocery,F,177645,November
5428,"Bengaluru, India",2014-12-13,Gold,Grocery,M,64885,December
5429,"Ahmedabad, India",2014-06-20,Silver,Grocery,F,218942,June
5430,"Greater Mumbai, India",2014-09-03,Signature,Grocery,M,143938,September
5431,"Bengaluru, India",2015-04-15,Gold,Entertainment,M,95120,April
5432,"Greater Mumbai, India",2015-04-20,Signature,Food,F,50736,April
5433,"Ahmedabad, India",2014-05-15,Gold,Bills,F,269192,May
5434,"Delhi, India",2014-09-15,Gold,Food,M,184935,September
5435,"Delhi, India",2014-10-17,Platinum,Fuel,F,218760,October
5436,"Greater Mumbai, India",2013-10-12,Gold,Food,F,45191,October
5437,"Ahmedabad, India",2014-04-20,Silver,Entertainment,F,49660,April
5438,"Bengaluru, India",2013-12-25,Silver,Fuel,F,49988,December
5439,"Greater Mumbai, India",2014-06-18,Signature,Grocery,M,103572,June
5440,"Bengaluru, India",2014-09-20,Platinum,Bills,F,248257,September
5441,"Bengaluru, India",2014-10-25,Platinum,Food,M,288269,October
5442,"Greater Mumbai, India",2015-03-02,Platinum,Food,F,170297,March
5443,"Delhi, India",2013-10-09,Gold,Food,F,295917,October
5444,"Greater Mumbai, India",2014-11-12,Platinum,Fuel,M,50416,November
5445,"Delhi, India",2013-10-06,Signature,Food,F,156519,October
5446,"Ahmedabad, India",2013-11-30,Platinum,Bills,M,122906,November
5447,"Ahmedabad, India",2014-04-08,Signature,Entertainment,F,231969,April
5448,"Bengaluru, India",2013-10-21,Gold,Bills,F,290022,October
5449,"Delhi, India",2015-03-18,Platinum,Food,F,63691,March
5450,"Greater Mumbai, India",2014-06-06,Silver,Fuel,F,193602,June
5451,"Ahmedabad, India",2014-04-03,Gold,Fuel,F,176859,April
5452,"Delhi, India",2015-02-17,Gold,Entertainment,M,196037,February
5453,"Ahmedabad, India",2014-08-16,Gold,Grocery,M,246068,August
5454,"Greater Mumbai, India",2014-12-01,Silver,Grocery,M,28122,December
5455,"Ahmedabad, India",2015-01-07,Silver,Entertainment,M,170937,January
5456,"Ahmedabad, India",2014-10-06,Gold,Bills,M,127798,October
5457,"Ahmedabad, India",2014-01-08,Signature,Fuel,M,282235,January
5458,"Delhi, India",2014-12-23,Gold,Food,M,40837,December
5459,"Bengaluru, India",2013-10-28,Platinum,Food,M,222217,October
5460,"Bengaluru, India",2014-04-20,Silver,Food,M,253161,April
5461,"Ahmedabad, India",2014-10-02,Signature,Food,M,76255,October
5462,"Ahmedabad, India",2014-07-19,Platinum,Entertainment,F,123724,July
5463,"Greater Mumbai, India",2014-10-20,Signature,Bills,F,172093,October
5464,"Ahmedabad, India",2014-05-02,Signature,Grocery,M,93499,May
5465,"Ahmedabad, India",2014-02-22,Silver,Fuel,F,31353,February
5466,"Greater Mumbai, India",2014-10-24,Silver,Fuel,F,205830,October
5467,"Ahmedabad, India",2014-08-06,Gold,Entertainment,M,223444,August
5468,"Greater Mumbai, India",2013-12-23,Silver,Food,M,218498,December
5469,"Delhi, India",2014-03-10,Signature,Entertainment,M,8844,March
5470,"Bengaluru, India",2015-01-06,Signature,Food,M,30206,January
5471,"Delhi, India",2015-02-07,Gold,Fuel,F,220520,February
5472,"Ahmedabad, India",2014-05-28,Signature,Entertainment,F,155034,May
5473,"Ahmedabad, India",2014-03-27,Signature,Grocery,F,118490,March
5474,"Ahmedabad, India",2013-11-26,Platinum,Entertainment,F,198752,November
5475,"Greater Mumbai, India",2014-09-17,Gold,Fuel,F,253590,September
5476,"Ahmedabad, India",2014-02-08,Silver,Entertainment,M,10590,February
5477,"Delhi, India",2014-01-22,Gold,Food,F,125162,January
5478,"Bengaluru, India",2014-01-31,Gold,Food,F,189867,January
5479,"Greater Mumbai, India",2014-12-25,Platinum,Food,F,19194,December
5480,"Bengaluru, India",2015-05-24,Platinum,Entertainment,F,35372,May
5481,"Greater Mumbai, India",2014-06-03,Platinum,Fuel,F,55506,June
5482,"Ahmedabad, India",2014-02-14,Silver,Fuel,F,195702,February
5483,"Ahmedabad, India",2014-01-25,Gold,Entertainment,F,251030,January
5484,"Ahmedabad, India",2014-03-10,Silver,Food,F,26647,March
5485,"Delhi, India",2014-07-25,Platinum,Entertainment,M,158973,July
5486,"Ahmedabad, India",2015-02-12,Gold,Food,M,193286,February
5487,"Delhi, India",2014-01-19,Signature,Bills,M,220673,January
5488,"Bengaluru, India",2014-05-04,Gold,Food,F,77839,May
5489,"Greater Mumbai, India",2015-02-19,Platinum,Food,M,119741,February
5490,"Greater Mumbai, India",2015-05-13,Signature,Fuel,F,234689,May
5491,"Delhi, India",2014-01-22,Signature,Entertainment,M,148983,January
5492,"Bengaluru, India",2014-03-19,Signature,Grocery,F,205574,March
5493,"Delhi, India",2013-12-20,Platinum,Grocery,F,207347,December
5494,"Ahmedabad, India",2014-10-21,Gold,Fuel,F,121717,October
5495,"Bengaluru, India",2013-10-07,Gold,Bills,M,152070,October
5496,"Bengaluru, India",2014-10-05,Gold,Food,M,106635,October
5497,"Greater Mumbai, India",2014-02-14,Platinum,Grocery,M,129505,February
5498,"Ahmedabad, India",2014-10-12,Gold,Fuel,M,4473,October
5499,"Delhi, India",2013-11-04,Signature,Entertainment,M,253025,November
5500,"Ahmedabad, India",2013-10-18,Gold,Fuel,F,12595,October
5501,"Delhi, India",2015-02-09,Platinum,Entertainment,M,198327,February
5502,"Bengaluru, India",2014-02-19,Gold,Food,F,34901,February
5503,"Ahmedabad, India",2014-04-26,Gold,Bills,M,261919,April
5504,"Bengaluru, India",2013-10-10,Silver,Grocery,M,291694,October
5505,"Ahmedabad, India",2014-09-27,Platinum,Bills,M,7005,September
5506,"Greater Mumbai, India",2014-04-09,Silver,Fuel,F,250063,April
5507,"Greater Mumbai, India",2015-03-12,Platinum,Bills,F,7651,March
5508,"Ahmedabad, India",2014-06-24,Platinum,Entertainment,M,81687,June
5509,"Bengaluru, India",2014-07-16,Silver,Entertainment,M,193468,July
5510,"Greater Mumbai, India",2014-05-24,Platinum,Grocery,F,246966,May
5511,"Ahmedabad, India",2014-12-04,Silver,Bills,F,231689,December
5512,"Delhi, India",2015-01-24,Silver,Entertainment,M,234732,January
5513,"Delhi, India",2014-04-10,Silver,Entertainment,M,219872,April
5514,"Delhi, India",2015-02-01,Platinum,Food,F,270076,February
5515,"Delhi, India",2014-07-16,Gold,Fuel,F,151781,July
5516,"Ahmedabad, India",2014-11-26,Silver,Food,F,298885,November
5517,"Greater Mumbai, India",2014-04-18,Signature,Bills,F,58875,April
5518,"Greater Mumbai, India",2014-04-14,Signature,Bills,M,22806,April
5519,"Bengaluru, India",2015-01-10,Signature,Fuel,M,29264,January
5520,"Delhi, India",2015-04-14,Platinum,Bills,F,297594,April
5521,"Greater Mumbai, India",2014-12-30,Gold,Bills,M,38496,December
5522,"Ahmedabad, India",2014-07-22,Silver,Food,F,115647,July
5523,"Greater Mumbai, India",2014-05-15,Silver,Food,F,149343,May
5524,"Greater Mumbai, India",2015-04-09,Gold,Fuel,M,270207,April
5525,"Delhi, India",2014-05-05,Platinum,Bills,F,186358,May
5526,"Ahmedabad, India",2015-05-01,Silver,Fuel,M,263095,May
5527,"Delhi, India",2014-11-05,Platinum,Entertainment,F,232431,November
5528,"Delhi, India",2014-11-18,Platinum,Fuel,F,244009,November
5529,"Delhi, India",2014-04-13,Silver,Fuel,F,79325,April
5530,"Bengaluru, India",2014-07-12,Gold,Food,M,293135,July
5531,"Greater Mumbai, India",2014-12-29,Silver,Bills,M,119718,December
5532,"Delhi, India",2015-02-18,Signature,Grocery,M,104974,February
5533,"Greater Mumbai, India",2014-09-08,Signature,Bills,F,75066,September
5534,"Delhi, India",2015-05-19,Signature,Bills,M,188614,May
5535,"Greater Mumbai, India",2013-11-21,Silver,Bills,M,42528,November
5536,"Ahmedabad, India",2013-11-12,Platinum,Entertainment,M,128597,November
5537,"Bengaluru, India",2014-05-06,Signature,Grocery,M,211054,May
5538,"Ahmedabad, India",2015-04-02,Platinum,Food,M,62692,April
5539,"Greater Mumbai, India",2015-04-11,Signature,Fuel,M,269088,April
5540,"Ahmedabad, India",2013-11-28,Platinum,Bills,F,243298,November
5541,"Greater Mumbai, India",2015-05-25,Signature,Fuel,M,7550,May
5542,"Ahmedabad, India",2015-01-20,Signature,Food,F,1265,January
5543,"Bengaluru, India",2014-10-30,Gold,Entertainment,M,151670,October
5544,"Greater Mumbai, India",2014-02-09,Signature,Fuel,M,73379,February
5545,"Bengaluru, India",2014-11-22,Platinum,Fuel,M,252255,November
5546,"Greater Mumbai, India",2014-03-29,Silver,Bills,M,38740,March
5547,"Bengaluru, India",2014-08-31,Platinum,Entertainment,F,110968,August
5548,"Bengaluru, India",2015-03-26,Silver,Entertainment,M,33371,March
5549,"Ahmedabad, India",2014-12-09,Silver,Bills,M,182309,December
5550,"Delhi, India",2014-07-22,Gold,Food,M,112558,July
5551,"Bengaluru, India",2014-01-02,Signature,Grocery,F,299040,January
5552,"Greater Mumbai, India",2015-03-31,Signature,Entertainment,F,159141,March
5553,"Bengaluru, India",2014-01-20,Platinum,Fuel,M,207078,January
5554,"Bengaluru, India",2015-01-06,Signature,Food,M,232635,January
5555,"Delhi, India",2014-02-04,Platinum,Bills,M,144398,February
5556,"Bengaluru, India",2014-01-31,Platinum,Fuel,M,265531,January
5557,"Delhi, India",2015-02-02,Gold,Grocery,F,188143,February
5558,"Ahmedabad, India",2014-12-28,Signature,Entertainment,M,79970,December
5559,"Bengaluru, India",2014-01-05,Gold,Entertainment,M,207831,January
5560,"Bengaluru, India",2014-07-06,Signature,Fuel,M,226486,July
5561,"Greater Mumbai, India",2013-12-22,Silver,Food,M,47247,December
5562,"Ahmedabad, India",2014-06-15,Signature,Food,M,198530,June
5563,"Bengaluru, India",2014-09-06,Signature,Bills,F,88293,September
5564,"Bengaluru, India",2015-03-03,Platinum,Bills,M,257118,March
5565,"Ahmedabad, India",2014-05-04,Platinum,Fuel,F,176991,May
5566,"Delhi, India",2015-03-06,Signature,Fuel,F,15025,March
5567,"Ahmedabad, India",2013-11-19,Platinum,Bills,F,239453,November
5568,"Delhi, India",2015-04-27,Gold,Fuel,F,98236,April
5569,"Delhi, India",2014-01-23,Signature,Fuel,F,144517,January
5570,"Ahmedabad, India",2014-05-16,Gold,Grocery,F,278516,May
5571,"Greater Mumbai, India",2013-12-11,Silver,Bills,M,213719,December
5572,"Ahmedabad, India",2015-03-16,Silver,Grocery,F,167523,March
5573,"Greater Mumbai, India",2015-05-10,Silver,Grocery,F,44230,May
5574,"Ahmedabad, India",2014-11-23,Signature,Bills,M,182212,November
5575,"Greater Mumbai, India",2014-09-24,Silver,Entertainment,M,43419,September
5576,"Ahmedabad, India",2015-02-06,Platinum,Food,F,117563,February
5577,"Bengaluru, India",2015-02-02,Platinum,Fuel,M,114853,February
5578,"Delhi, India",2015-02-24,Silver,Fuel,F,54894,February
5579,"Delhi, India",2015-01-04,Gold,Entertainment,F,93929,January
5580,"Ahmedabad, India",2014-03-21,Signature,Bills,F,161580,March
5581,"Ahmedabad, India",2013-11-08,Platinum,Bills,F,54090,November
5582,"Greater Mumbai, India",2013-10-24,Gold,Food,M,9201,October
5583,"Delhi, India",2013-12-27,Gold,Fuel,M,18133,December
5584,"Ahmedabad, India",2015-03-07,Signature,Bills,F,39007,March
5585,"Bengaluru, India",2013-12-12,Signature,Grocery,M,188819,December
5586,"Bengaluru, India",2015-02-11,Signature,Bills,M,217968,February
5587,"Ahmedabad, India",2014-11-12,Signature,Grocery,M,228427,November
5588,"Delhi, India",2014-08-12,Platinum,Bills,F,154256,August
5589,"Greater Mumbai, India",2015-03-15,Silver,Entertainment,F,254603,March
5590,"Ahmedabad, India",2014-08-13,Signature,Food,F,103568,August
5591,"Delhi, India",2013-11-06,Platinum,Fuel,M,12638,November
5592,"Ahmedabad, India",2014-02-08,Gold,Food,M,4737,February
5593,"Greater Mumbai, India",2014-04-24,Gold,Bills,F,152667,April
5594,"Ahmedabad, India",2015-03-15,Gold,Grocery,M,58143,March
5595,"Bengaluru, India",2015-04-26,Silver,Food,F,173178,April
5596,"Bengaluru, India",2015-01-11,Platinum,Fuel,M,126079,January
5597,"Bengaluru, India",2014-03-20,Silver,Entertainment,M,49976,March
5598,"Greater Mumbai, India",2013-10-23,Signature,Food,F,183818,October
5599,"Ahmedabad, India",2015-01-18,Silver,Grocery,M,202671,January
5600,"Greater Mumbai, India",2014-07-11,Signature,Grocery,M,19014,July
5601,"Greater Mumbai, India",2014-04-02,Platinum,Grocery,F,136271,April
5602,"Greater Mumbai, India",2015-05-14,Platinum,Food,F,61427,May
5603,"Ahmedabad, India",2014-03-23,Gold,Bills,M,226543,March
5604,"Ahmedabad, India",2014-02-13,Silver,Entertainment,F,85013,February
5605,"Ahmedabad, India",2015-03-25,Platinum,Food,F,44844,March
5606,"Greater Mumbai, India",2014-01-28,Silver,Grocery,F,127077,January
5607,"Bengaluru, India",2013-12-28,Gold,Grocery,F,18848,December
5608,"Delhi, India",2015-04-16,Gold,Grocery,F,36672,April
5609,"Bengaluru, India",2015-01-16,Platinum,Food,M,282707,January
5610,"Ahmedabad, India",2015-02-01,Gold,Fuel,M,233207,February
5611,"Delhi, India",2014-12-18,Gold,Bills,M,59017,December
5612,"Delhi, India",2013-12-24,Gold,Food,M,146258,December
5613,"Ahmedabad, India",2014-11-28,Silver,Entertainment,M,56636,November
5614,"Ahmedabad, India",2014-04-18,Signature,Entertainment,F,257567,April
5615,"Ahmedabad, India",2014-05-27,Gold,Food,M,292393,May
5616,"Bengaluru, India",2013-11-24,Gold,Food,F,96794,November
5617,"Bengaluru, India",2015-02-19,Platinum,Grocery,M,100624,February
5618,"Greater Mumbai, India",2013-11-18,Gold,Entertainment,F,192109,November
5619,"Ahmedabad, India",2014-10-07,Platinum,Grocery,M,191123,October
5620,"Ahmedabad, India",2014-06-13,Platinum,Grocery,F,57211,June
5621,"Bengaluru, India",2015-03-26,Gold,Fuel,M,49831,March
5622,"Bengaluru, India",2014-02-21,Signature,Bills,M,212005,February
5623,"Greater Mumbai, India",2014-11-07,Signature,Entertainment,F,51790,November
5624,"Delhi, India",2014-07-30,Signature,Entertainment,F,108940,July
5625,"Bengaluru, India",2014-04-15,Gold,Food,F,102525,April
5626,"Greater Mumbai, India",2014-11-11,Signature,Entertainment,M,134427,November
5627,"Bengaluru, India",2014-10-09,Silver,Bills,F,41516,October
5628,"Bengaluru, India",2015-05-04,Gold,Grocery,F,267301,May
5629,"Ahmedabad, India",2014-08-03,Platinum,Food,F,116820,August
5630,"Delhi, India",2014-12-19,Platinum,Grocery,M,27737,December
5631,"Greater Mumbai, India",2014-12-05,Gold,Fuel,F,209099,December
5632,"Greater Mumbai, India",2013-12-02,Silver,Bills,M,121028,December
5633,"Ahmedabad, India",2013-12-19,Platinum,Food,M,213569,December
5634,"Bengaluru, India",2013-12-08,Signature,Bills,M,90354,December
5635,"Delhi, India",2014-07-19,Platinum,Food,M,147537,July
5636,"Greater Mumbai, India",2014-08-07,Silver,Grocery,M,216726,August
5637,"Bengaluru, India",2014-08-07,Gold,Fuel,F,122681,August
5638,"Bengaluru, India",2014-09-20,Platinum,Entertainment,M,267612,September
5639,"Ahmedabad, India",2015-03-21,Platinum,Food,M,229864,March
5640,"Ahmedabad, India",2014-01-01,Platinum,Fuel,F,24200,January
5641,"Delhi, India",2014-05-25,Gold,Fuel,M,122144,May
5642,"Ahmedabad, India",2015-02-24,Silver,Fuel,M,112789,February
5643,"Bengaluru, India",2014-01-29,Silver,Fuel,F,172814,January
5644,"Bengaluru, India",2013-11-05,Silver,Entertainment,F,246465,November
5645,"Bengaluru, India",2014-11-22,Gold,Food,F,199156,November
5646,"Bengaluru, India",2014-09-15,Silver,Food,F,285661,September
5647,"Greater Mumbai, India",2014-08-06,Gold,Grocery,M,188349,August
5648,"Bengaluru, India",2014-12-02,Platinum,Bills,F,232774,December
5649,"Ahmedabad, India",2014-09-01,Signature,Grocery,M,136601,September
5650,"Delhi, India",2014-11-14,Gold,Grocery,F,119657,November
5651,"Bengaluru, India",2014-08-06,Signature,Fuel,F,64742,August
5652,"Delhi, India",2013-10-11,Platinum,Entertainment,M,44863,October
5653,"Bengaluru, India",2014-07-27,Signature,Fuel,M,39444,July
5654,"Bengaluru, India",2014-04-13,Gold,Entertainment,M,180453,April
5655,"Delhi, India",2014-07-01,Platinum,Entertainment,F,260518,July
5656,"Delhi, India",2014-01-08,Silver,Food,F,100623,January
5657,"Ahmedabad, India",2014-08-31,Platinum,Food,M,278519,August
5658,"Greater Mumbai, India",2014-05-06,Platinum,Entertainment,F,277363,May
5659,"Bengaluru, India",2015-05-26,Signature,Food,M,268608,May
5660,"Ahmedabad, India",2015-04-09,Silver,Entertainment,F,61315,April
5661,"Greater Mumbai, India",2014-03-16,Gold,Entertainment,F,78371,March
5662,"Ahmedabad, India",2014-06-01,Platinum,Grocery,M,252284,June
5663,"Greater Mumbai, India",2014-04-17,Signature,Bills,F,80553,April
5664,"Greater Mumbai, India",2015-05-10,Platinum,Fuel,M,260680,May
5665,"Ahmedabad, India",2013-10-31,Silver,Fuel,M,292832,October
5666,"Bengaluru, India",2014-07-15,Signature,Fuel,F,30808,July
5667,"Ahmedabad, India",2014-01-05,Signature,Entertainment,M,72559,January
5668,"Ahmedabad, India",2014-07-28,Platinum,Grocery,F,67804,July
5669,"Delhi, India",2013-12-28,Platinum,Food,F,230609,December
5670,"Greater Mumbai, India",2013-10-23,Platinum,Entertainment,M,58406,October
5671,"Ahmedabad, India",2015-05-06,Silver,Entertainment,M,208720,May
5672,"Delhi, India",2014-02-15,Gold,Food,M,116407,February
5673,"Greater Mumbai, India",2014-03-23,Platinum,Entertainment,M,214301,March
5674,"Ahmedabad, India",2014-07-21,Platinum,Grocery,M,156919,July
5675,"Delhi, India",2014-07-08,Signature,Fuel,F,192912,July
5676,"Bengaluru, India",2014-07-17,Platinum,Bills,F,12036,July
5677,"Delhi, India",2014-09-20,Platinum,Fuel,M,187757,September
5678,"Greater Mumbai, India",2014-01-05,Platinum,Grocery,F,130139,January
5679,"Delhi, India",2015-02-27,Silver,Food,M,163953,February
5680,"Ahmedabad, India",2014-11-11,Silver,Food,F,215613,November
5681,"Ahmedabad, India",2015-03-13,Signature,Grocery,F,64185,March
5682,"Bengaluru, India",2015-02-06,Gold,Fuel,F,247978,February
5683,"Ahmedabad, India",2014-04-02,Signature,Grocery,F,173006,April
5684,"Greater Mumbai, India",2013-12-21,Platinum,Bills,F,45125,December
5685,"Bengaluru, India",2015-01-18,Gold,Food,M,218973,January
5686,"Bengaluru, India",2014-12-13,Silver,Entertainment,F,222179,December
5687,"Delhi, India",2014-11-20,Gold,Entertainment,F,37579,November
5688,"Greater Mumbai, India",2015-03-24,Platinum,Entertainment,F,29612,March
5689,"Bengaluru, India",2014-10-12,Signature,Fuel,M,109274,October
5690,"Greater Mumbai, India",2015-03-10,Signature,Food,F,205497,March
5691,"Bengaluru, India",2015-03-27,Platinum,Fuel,F,252230,March
5692,"Ahmedabad, India",2014-10-30,Silver,Food,F,54606,October
5693,"Delhi, India",2015-04-19,Signature,Entertainment,M,294363,April
5694,"Ahmedabad, India",2015-03-28,Platinum,Fuel,F,29896,March
5695,"Delhi, India",2014-12-24,Gold,Fuel,F,16609,December
5696,"Delhi, India",2013-12-23,Platinum,Entertainment,M,290008,December
5697,"Ahmedabad, India",2014-08-13,Gold,Grocery,F,230433,August
5698,"Greater Mumbai, India",2014-08-11,Silver,Bills,F,117259,August
5699,"Bengaluru, India",2015-03-12,Gold,Entertainment,F,207417,March
5700,"Greater Mumbai, India",2015-01-17,Signature,Fuel,F,152348,January
5701,"Delhi, India",2015-02-17,Gold,Bills,F,148210,February
5702,"Ahmedabad, India",2013-10-30,Platinum,Grocery,F,219139,October
5703,"Ahmedabad, India",2015-03-17,Platinum,Grocery,M,264515,March
5704,"Greater Mumbai, India",2014-10-12,Platinum,Grocery,M,202187,October
5705,"Greater Mumbai, India",2015-02-17,Signature,Bills,M,253220,February
5706,"Delhi, India",2013-10-10,Platinum,Fuel,F,240018,October
5707,"Greater Mumbai, India",2014-07-13,Silver,Food,M,169103,July
5708,"Delhi, India",2014-07-27,Silver,Entertainment,M,141670,July
5709,"Greater Mumbai, India",2013-11-29,Signature,Grocery,M,146163,November
5710,"Delhi, India",2015-02-17,Gold,Fuel,M,260966,February
5711,"Delhi, India",2015-05-08,Gold,Bills,F,238611,May
5712,"Delhi, India",2015-01-16,Platinum,Bills,M,74810,January
5713,"Ahmedabad, India",2015-03-18,Silver,Food,F,147047,March
5714,"Bengaluru, India",2014-07-15,Signature,Food,M,261637,July
5715,"Greater Mumbai, India",2015-01-22,Silver,Food,M,131323,January
5716,"Delhi, India",2014-06-05,Signature,Food,F,263176,June
5717,"Delhi, India",2013-12-04,Signature,Bills,F,46000,December
5718,"Delhi, India",2015-03-11,Gold,Bills,M,79638,March
5719,"Delhi, India",2014-03-04,Silver,Grocery,F,158421,March
5720,"Ahmedabad, India",2015-01-07,Platinum,Entertainment,F,266375,January
5721,"Greater Mumbai, India",2014-09-27,Gold,Bills,M,182002,September
5722,"Bengaluru, India",2014-05-11,Signature,Food,F,218630,May
5723,"Bengaluru, India",2013-10-19,Silver,Entertainment,F,38908,October
5724,"Ahmedabad, India",2015-05-09,Signature,Bills,M,14029,May
5725,"Greater Mumbai, India",2013-12-06,Gold,Fuel,F,50719,December
5726,"Greater Mumbai, India",2014-01-24,Gold,Entertainment,M,108457,January
5727,"Delhi, India",2015-03-17,Silver,Bills,M,225285,March
5728,"Ahmedabad, India",2014-10-14,Platinum,Bills,F,231493,October
5729,"Greater Mumbai, India",2014-04-25,Silver,Fuel,M,215851,April
5730,"Ahmedabad, India",2014-02-06,Silver,Fuel,F,37311,February
5731,"Bengaluru, India",2014-06-11,Signature,Bills,F,109370,June
5732,"Delhi, India",2014-07-09,Platinum,Fuel,F,226908,July
5733,"Ahmedabad, India",2013-10-12,Silver,Grocery,F,252655,October
5734,"Greater Mumbai, India",2014-04-07,Platinum,Fuel,F,249152,April
5735,"Delhi, India",2014-12-20,Gold,Entertainment,F,169872,December
5736,"Bengaluru, India",2015-01-31,Signature,Fuel,M,176187,January
5737,"Bengaluru, India",2014-02-17,Silver,Fuel,M,241143,February
5738,"Greater Mumbai, India",2014-07-11,Gold,Bills,F,148011,July
5739,"Ahmedabad, India",2015-04-01,Platinum,Food,F,225527,April
5740,"Ahmedabad, India",2015-01-26,Platinum,Grocery,F,178944,January
5741,"Delhi, India",2013-11-13,Signature,Fuel,F,152771,November
5742,"Bengaluru, India",2015-02-17,Platinum,Entertainment,F,115312,February
5743,"Ahmedabad, India",2013-12-25,Gold,Entertainment,F,137061,December
5744,"Delhi, India",2014-03-19,Platinum,Bills,F,214242,March
5745,"Greater Mumbai, India",2015-02-16,Silver,Food,F,49810,February
5746,"Bengaluru, India",2013-11-14,Silver,Grocery,M,167054,November
5747,"Ahmedabad, India",2013-10-20,Platinum,Fuel,M,127914,October
5748,"Greater Mumbai, India",2015-04-24,Signature,Fuel,F,287518,April
5749,"Ahmedabad, India",2014-09-29,Silver,Bills,F,267192,September
5750,"Delhi, India",2014-02-17,Silver,Entertainment,F,289592,February
5751,"Greater Mumbai, India",2013-10-23,Signature,Grocery,M,59382,October
5752,"Bengaluru, India",2013-11-02,Gold,Food,F,251404,November
5753,"Bengaluru, India",2015-01-01,Gold,Fuel,M,287672,January
5754,"Bengaluru, India",2014-06-03,Silver,Food,M,70620,June
5755,"Delhi, India",2014-02-08,Platinum,Fuel,F,276476,February
5756,"Bengaluru, India",2014-02-01,Signature,Grocery,M,132157,February
5757,"Greater Mumbai, India",2013-12-20,Platinum,Food,F,87369,December
5758,"Greater Mumbai, India",2014-05-18,Platinum,Grocery,M,151549,May
5759,"Ahmedabad, India",2014-11-02,Silver,Entertainment,F,43417,November
5760,"Bengaluru, India",2015-03-15,Signature,Entertainment,M,54004,March
5761,"Bengaluru, India",2014-08-25,Signature,Entertainment,F,201939,August
5762,"Delhi, India",2014-07-05,Silver,Entertainment,M,18110,July
5763,"Ahmedabad, India",2014-11-07,Silver,Fuel,F,113164,November
5764,"Bengaluru, India",2015-02-10,Gold,Fuel,F,281134,February
5765,"Bengaluru, India",2013-12-31,Silver,Bills,F,69678,December
5766,"Delhi, India",2014-05-13,Silver,Grocery,M,280679,May
5767,"Greater Mumbai, India",2015-02-15,Platinum,Food,F,174612,February
5768,"Greater Mumbai, India",2014-10-11,Signature,Fuel,F,156046,October
5769,"Greater Mumbai, India",2015-03-26,Gold,Grocery,M,174093,March
5770,"Delhi, India",2013-12-27,Signature,Fuel,M,70444,December
5771,"Delhi, India",2013-11-05,Platinum,Fuel,M,56482,November
5772,"Ahmedabad, India",2015-04-23,Platinum,Fuel,F,196617,April
5773,"Delhi, India",2015-05-26,Platinum,Food,M,299056,May
5774,"Bengaluru, India",2014-02-24,Gold,Food,F,122332,February
5775,"Ahmedabad, India",2014-01-27,Gold,Food,M,264200,January
5776,"Greater Mumbai, India",2014-04-21,Gold,Grocery,F,277276,April
5777,"Ahmedabad, India",2015-01-22,Platinum,Fuel,M,261143,January
5778,"Bengaluru, India",2014-09-17,Platinum,Fuel,F,44951,September
5779,"Greater Mumbai, India",2014-05-11,Platinum,Food,F,220832,May
5780,"Ahmedabad, India",2014-09-28,Signature,Food,M,198478,September
5781,"Delhi, India",2013-12-29,Gold,Bills,M,111614,December
5782,"Bengaluru, India",2014-07-18,Platinum,Entertainment,M,248026,July
5783,"Ahmedabad, India",2015-01-03,Signature,Food,M,294580,January
5784,"Bengaluru, India",2014-10-13,Silver,Fuel,F,10521,October
5785,"Delhi, India",2014-10-19,Silver,Entertainment,F,295309,October
5786,"Bengaluru, India",2015-03-24,Silver,Entertainment,M,241198,March
5787,"Bengaluru, India",2013-11-28,Platinum,Bills,M,65104,November
5788,"Bengaluru, India",2015-05-24,Gold,Fuel,M,30995,May
5789,"Ahmedabad, India",2014-08-27,Platinum,Bills,M,120076,August
5790,"Greater Mumbai, India",2014-12-13,Platinum,Entertainment,M,283204,December
5791,"Delhi, India",2014-11-26,Silver,Entertainment,M,210074,November
5792,"Delhi, India",2014-01-28,Platinum,Bills,M,194524,January
5793,"Greater Mumbai, India",2015-01-16,Signature,Bills,M,62524,January
5794,"Delhi, India",2014-06-05,Silver,Grocery,F,223594,June
5795,"Ahmedabad, India",2015-04-07,Signature,Entertainment,M,166405,April
5796,"Ahmedabad, India",2014-01-02,Platinum,Bills,F,208786,January
5797,"Delhi, India",2014-09-11,Gold,Grocery,M,244563,September
5798,"Greater Mumbai, India",2013-10-04,Platinum,Grocery,F,52423,October
